"","Approved.symbol","NCBI.Gene.ID","keggGene"
"1","Sox13",20668,"mmu:20668"
"2","Etnk2",214253,"mmu:214253"
"3","Ren1",19701,"mmu:19701"
"4","Ren2",19702,"mmu:19702"
"5","Kiss1",280287,"mmu:280287"
"6","Golt1a",68338,"mmu:68338"
"7","Plekha6",240753,"mmu:240753"
"9","Ifi202b",26388,"mmu:26388"
"11","Ifi203",15950,"mmu:15950"
"14","Ifi204",15951,"mmu:15951"
"15","AI607873",226691,"mmu:226691"
"16","Olfr432",258711,"mmu:258711"
"17","Olfr433",258712,"mmu:258712"
"18","Ifi205",226695,"mmu:226695"
"21","Mndal",100040462,"mmu:100040462"
"22","Acsl3",74205,"mmu:74205"
"24","Utp14b",195434,"mmu:195434"
"27","Mogat1",68393,"mmu:68393"
"28","Farsb",23874,"mmu:23874"
"30","Sgpp2",433323,"mmu:433323"
"31","Pdhx",27402,"mmu:27402"
"32","Apip",56369,"mmu:56369"
"33","Ehf",13661,"mmu:13661"
"34","Fgf2",14173,"mmu:14173"
"35","Nudt6",229228,"mmu:229228"
"37","Spata5",57815,"mmu:57815"
"40","Adad1",21744,"mmu:21744"
"41","Il2",16183,"mmu:16183"
"42","Il21",60505,"mmu:60505"
"44","Cetn4",207175,"mmu:207175"
"45","Bbs12",241950,"mmu:241950"
"61","4932438A13Rik",229227,"mmu:229227"
"63","Oog2",381570,"mmu:381570"
"64","C87977",97187,"mmu:97187"
"65","Pramel5",384077,"mmu:384077"
"66","Gm13128",626995,"mmu:626995"
"67","Olfr155",29845,"mmu:29845"
"68","Olfr157",100040268,"mmu:100040268"
"69","Olfr156",29846,"mmu:29846"
"70","Olfr159",29849,"mmu:29849"
"71","Kl",16591,"mmu:16591"
"72","Stard13",243362,"mmu:243362"
"74","Vmn1r50",113852,"mmu:113852"
"75","Vmn1r51",22296,"mmu:22296"
"76","Vmn1r52",113849,"mmu:113849"
"77","V1ra8",113850,"mmu:113850"
"78","Vmn1r53",113853,"mmu:113853"
"79","Vmn1r54",113851,"mmu:113851"
"80","Hk2",15277,"mmu:15277"
"81","Sema4f",20355,"mmu:20355"
"83","M1ap",110958,"mmu:110958"
"84","Dok1",13448,"mmu:13448"
"86","Loxl3",16950,"mmu:16950"
"87","Kdm5a",214899,"mmu:214899"
"88","Il17ra",16172,"mmu:16172"
"89","Cecr6",94047,"mmu:94047"
"90","Cecr5",214932,"mmu:214932"
"91","Cecr2",330409,"mmu:330409"
"92","Slc25a18",71803,"mmu:71803"
"93","Atp6v1e1",11973,"mmu:11973"
"94","Bcl2l13",94044,"mmu:94044"
"95","Bid",12122,"mmu:12122"
"96","Mical3",194401,"mmu:194401"
"98","Olfr1532-ps1",258173,"mmu:258173"
"99","Olfr707",194433,"mmu:194433"
"100","Pcm1",18536,"mmu:18536"
"101","Asah1",11886,"mmu:11886"
"102","Frg1",14300,"mmu:14300"
"103","Large",16795,"mmu:16795"
"105","Kansl1",76719,"mmu:76719"
"106","Mapt",17762,"mmu:17762"
"111","Naip2",17948,"mmu:17948"
"113","Naip5",17951,"mmu:17951"
"114","Ipo11",76582,"mmu:76582"
