"","Approved.symbol","NCBI.Gene.ID","keggGene"
"15421","LYPD4",147719,"hsa:147719"
"15422","ZNF560",147741,"hsa:147741"
"15423","TMEM190",147744,"hsa:147744"
"15424","HIPK4",147746,"hsa:147746"
"15425","TMC4",147798,"hsa:147798"
"15426","ZNF524",147807,"hsa:147807"
"15427","ZNF784",147808,"hsa:147808"
"15428","ZNF563",147837,"hsa:147837"
"15429","SPC24",147841,"hsa:147841"
"15430","CCDC155",147872,"hsa:147872"
"15431","DACT3",147906,"hsa:147906"
"15432","SIX5",147912,"hsa:147912"
"15433","IGFL2",147920,"hsa:147920"
"15434","ZNF420",147923,"hsa:147923"
"15435","ZNF565",147929,"hsa:147929"
"15436","NLRP4",147945,"hsa:147945"
"15437","ZNF582",147948,"hsa:147948"
"15438","ZNF583",147949,"hsa:147949"
"15439","FAM98C",147965,"hsa:147965"
"15440","CAPN12",147968,"hsa:147968"
"15441","DPY19L3",147991,"hsa:147991"
"15442","LGALS16",148003,"hsa:148003"
"15443","TTC9B",148014,"hsa:148014"
"15444","TICAM1",148022,"hsa:148022"
"15445","ZNRF4",148066,"hsa:148066"
"15446","ZNF599",148103,"hsa:148103"
"15447","FAM187B",148109,"hsa:148109"
"15448","CILP2",148113,"hsa:148113"
"15449","PROSER3",148137,"hsa:148137"
"15450","ZNF558",148156,"hsa:148156"
"15451","CDC42EP5",148170,"hsa:148170"
"15452","ZNF98",148198,"hsa:148198"
"15453","ZNF738",148203,"hsa:148203"
"15454","ZNF714",148206,"hsa:148206"
"15455","ZNF681",148213,"hsa:148213"
"15456","C19orf25",148223,"hsa:148223"
"15457","ATP8B3",148229,"hsa:148229"
"15458","DIRAS1",148252,"hsa:148252"
"15459","ZNF555",148254,"hsa:148254"
"15460","ZNF569",148266,"hsa:148266"
"15461","ZNF570",148268,"hsa:148268"
"15462","SYT6",148281,"hsa:148281"
"15463","C1orf74",148304,"hsa:148304"
"15464","CREB3L4",148327,"hsa:148327"
"15465","C1orf127",148345,"hsa:148345"
"15466","BROX",148362,"hsa:148362"
"15467","SAMD11",148398,"hsa:148398"
"15468","SAMD13",148418,"hsa:148418"
"15469","C1orf52",148423,"hsa:148423"
"15470","PHF13",148479,"hsa:148479"
"15471","CIART",148523,"hsa:148523"
"15472","TLCD4",148534,"hsa:148534"
"15473","NBPF4",148545,"hsa:148545"
"15474","UBE2U",148581,"hsa:148581"
"15475","SLC35F3",148641,"hsa:148641"
"15476","HJV",148738,"hsa:148738"
"15477","ANKRD35",148741,"hsa:148741"
"15478","FAM163A",148753,"hsa:148753"
"15479","B3GALNT2",148789,"hsa:148789"
"15480","MFSD4A",148808,"hsa:148808"
"15481","PM20D1",148811,"hsa:148811"
"15482","GCSAML",148823,"hsa:148823"
"15483","SLC30A7",148867,"hsa:148867"
"15484","CCDC27",148870,"hsa:148870"
"15485","KNCN",148930,"hsa:148930"
