"","Approved.symbol","NCBI.Gene.ID","keggGene"
"193","C2",24231,"rno:24231"
"194","C3",24232,"rno:24232"
"195","C4bpa",24235,"rno:24235"
"196","C4bpb",24236,"rno:24236"
"197","C5",362119,"rno:362119"
"198","C6",24237,"rno:24237"
"199","C8b",313421,"rno:313421"
"200","Car2",54231,"rno:54231"
"201","Ca3",54232,"rno:54232"
"202","Ca4",29242,"rno:29242"
"203","Ca5a",54233,"rno:54233"
"204","Cacna1a",25398,"rno:25398"
"205","Cacna1c",24239,"rno:24239"
"206","Cacna1e",54234,"rno:54234"
"207","Cacna2d1",25399,"rno:25399"
"208","Cacnb3",25297,"rno:25297"
"209","Cacng1",29658,"rno:29658"
"210","Ddr1",25678,"rno:25678"
"211","S100g",24249,"rno:24249"
"212","Calca",24241,"rno:24241"
"213","Calcrl",25029,"rno:25029"
"214","Cald1",25687,"rno:25687"
"215","Calm1",24242,"rno:24242"
"216","Calm2",50663,"rno:50663"
"217","Calm3",24244,"rno:24244"
"218","Camk2a",25400,"rno:25400"
"219","Camk2b",24245,"rno:24245"
"220","Camk2d",24246,"rno:24246"
"221","Camk4",25050,"rno:25050"
"222","Calm-ps1",54235,"rno:54235"
"223","Canx",29144,"rno:29144"
"224","Capn1",29153,"rno:29153"
"225","Capn2",29154,"rno:29154"
"226","Capn3",29155,"rno:29155"
"227","Capns1",29156,"rno:29156"
"228","Capza3",29324,"rno:29324"
"229","Cartpt",29131,"rno:29131"
"230","Alx1",25401,"rno:25401"
"231","Casp1",25166,"rno:25166"
"232","Casp3",25402,"rno:25402"
"233","Casq2",29209,"rno:29209"
"234","Casr",24247,"rno:24247"
"235","Cast",25403,"rno:25403"
"236","Cat",24248,"rno:24248"
"237","Cav1",25404,"rno:25404"
"238","Cav3",29161,"rno:29161"
"239","Runx2",367218,"rno:367218"
"240","Runx1",50662,"rno:50662"
"241","Cbr1",29224,"rno:29224"
"242","Cbs",24250,"rno:24250"
"243","Cck",25298,"rno:25298"
"244","Cckar",24889,"rno:24889"
"245","Cckbr",25706,"rno:25706"
"246","Ccnb1",25203,"rno:25203"
"247","Ccnd3",25193,"rno:25193"
"248","Ccne1",25729,"rno:25729"
"249","Ccng1",25405,"rno:25405"
"250","Cd1d1",25109,"rno:25109"
"251","Cd2",497761,"rno:497761"
"252","Cd24",25145,"rno:25145"
"253","Cd28",25660,"rno:25660"
"254","Cd36",29184,"rno:29184"
"255","Scarb1",25073,"rno:25073"
"256","Cd38",25668,"rno:25668"
"257","Cd3d",25710,"rno:25710"
"258","Cd247",25300,"rno:25300"
"259","Cd4",24932,"rno:24932"
"260","Cd44",25406,"rno:25406"
"261","Cd47",29364,"rno:29364"
"262","Cd5",54236,"rno:54236"
"263","Cd53",24251,"rno:24251"
"264","Cd59",25407,"rno:25407"
"265","Cd6",25752,"rno:25752"
"266","Cd74",25599,"rno:25599"
"267","Cd80",25408,"rno:25408"
"268","Cd81",25621,"rno:25621"
"269","Cd8a",24930,"rno:24930"
"270","Cd8b",24931,"rno:24931"
"271","Cd9",24936,"rno:24936"
"272","Cdk1",54237,"rno:54237"
"273","Cdh14",25198,"rno:25198"
"274","Cdh22",29182,"rno:29182"
"275","Cdh6",25409,"rno:25409"
"276","Cdkn2a",25163,"rno:25163"
"277","Cdkn2b",25164,"rno:25164"
"278","Cdkn2c",54238,"rno:54238"
"279","Cebpa",24252,"rno:24252"
"280","Cebpb",24253,"rno:24253"
"281","Cebpd",25695,"rno:25695"
"282","Cebpe",25410,"rno:25410"
"283","Cebpg",25301,"rno:25301"
"284","Cel",24254,"rno:24254"
"285","Cftr",24255,"rno:24255"
"286","Ceacam3",24926,"rno:24926"
"287","Psg19",24256,"rno:24256"
"288","Chad",29195,"rno:29195"
"289","Chga",24258,"rno:24258"
"290","Chgb",24259,"rno:24259"
"291","Chm",24942,"rno:24942"
"292","Chrm1",25229,"rno:25229"
"293","Chrm3",24260,"rno:24260"
"294","Chrm4",25111,"rno:25111"
"295","Chrna3",25101,"rno:25101"
"296","Chrna4",25590,"rno:25590"
"297","Chrna5",25102,"rno:25102"
"298","Chrna7",25302,"rno:25302"
"299","Chrnb1",24261,"rno:24261"
"300","Chrnb2",54239,"rno:54239"
"301","Chrnb4",25103,"rno:25103"
"302","Chrnd",54240,"rno:54240"
"303","Chrne",29422,"rno:29422"
"304","Chrng",25753,"rno:25753"
"305","Ckb",24264,"rno:24264"
"306","Ckm",24265,"rno:24265"
"307","Grem1",50566,"rno:50566"
"308","Clcn1",25688,"rno:25688"
"309","Clcn2",29232,"rno:29232"
"310","Clcn5",25749,"rno:25749"
"311","Clps",25680,"rno:25680"
"312","Cltc",54241,"rno:54241"
"313","Cma1",25627,"rno:25627"
"314","Abcc2",25303,"rno:25303"
"315","Cnga2",25411,"rno:25411"
"316","Cnp",25275,"rno:25275"
"317","Cnr1",25248,"rno:25248"
"318","Cntf",25707,"rno:25707"
"319","Col10a1",25681,"rno:25681"
"320","Col11a1",25654,"rno:25654"
"321","Col11a2",294279,"rno:294279"
"322","Col12a1",25683,"rno:25683"
"323","Col2a1",25412,"rno:25412"
"324","Colq",29755,"rno:29755"
"325","Comp",25304,"rno:25304"
"326","Comt",24267,"rno:24267"
"327","Coq3",29309,"rno:29309"
"328","Coq7",25249,"rno:25249"
"329","Coro1b",29474,"rno:29474"
"330","Cort",25305,"rno:25305"
"331","Cox6a1",25282,"rno:25282"
"332","Cox6a2",25278,"rno:25278"
"333","Cox8b",25250,"rno:25250"
"334","Cp",24268,"rno:24268"
"335","Cpa1",24269,"rno:24269"
"336","Cpa3",54242,"rno:54242"
"337","Cpb1",24271,"rno:24271"
"338","Cpd",25306,"rno:25306"
"339","Cpe",25669,"rno:25669"
"340","Cps1",497840,"rno:497840"
"341","Cpt1a",25757,"rno:25757"
"342","Cpt1b",25756,"rno:25756"
"343","Cpt2",25413,"rno:25413"
"344","Cr1l",54243,"rno:54243"
"345","Crabp1",25061,"rno:25061"
"346","Crebbp",54244,"rno:54244"
"347","Crem",25620,"rno:25620"
"348","Crhbp",29625,"rno:29625"
"349","Crk",54245,"rno:54245"
"350","Bcar1",25414,"rno:25414"
"351","Crmp1",25415,"rno:25415"
"352","Dpysl4",25417,"rno:25417"
"353","Dpysl3",25418,"rno:25418"
"354","Crp",25419,"rno:25419"
"355","Hapln1",29331,"rno:29331"
"356","Cryaa",24273,"rno:24273"
"357","Cryab",25420,"rno:25420"
"358","Cryba1",25583,"rno:25583"
"359","Crybb1",25421,"rno:25421"
"360","Crybb2",25422,"rno:25422"
"361","Crygc",24277,"rno:24277"
"362","Crygd",24278,"rno:24278"
"363","Cryge",24279,"rno:24279"
"364","Csf1r",307403,"rno:307403"
"365","Csf3",25610,"rno:25610"
"366","Prl3d1",53950,"rno:53950"
"367","Prl3d4",24282,"rno:24282"
"368","Prl3b1",24283,"rno:24283"
"369","Csn1s1",24284,"rno:24284"
"370","Cspg5",50568,"rno:50568"
"371","Cst3",25307,"rno:25307"
"372","Cst8",29679,"rno:29679"
"373","Cstb",25308,"rno:25308"
"374","Ctbp1",29382,"rno:29382"
"375","Ctf1",29201,"rno:29201"
"376","Cth",24962,"rno:24962"
"377","Ctrb1",24291,"rno:24291"
"378","Ctsc",25423,"rno:25423"
"379","Ctse",25424,"rno:25424"
"380","Ctsh",25425,"rno:25425"
"381","Ctsl",25697,"rno:25697"
"382","Ctxn1",29145,"rno:29145"
"383","Cycs",25309,"rno:25309"
"384","Cyct",25310,"rno:25310"
"385","Cyp11b1",500892,"rno:500892"
"386","Cyp11b2",24294,"rno:24294"
"387","Cyp17a1",25146,"rno:25146"
"388","Cyp19a1",25147,"rno:25147"
"389","Cyp1a1",24296,"rno:24296"
"390","Cyp1a2",24297,"rno:24297"
"391","Cyp1b1",25426,"rno:25426"
"392","Cyp21a1",24298,"rno:24298"
"393","Cyp24a1",25279,"rno:25279"
"394","Cyp2a1",24894,"rno:24894"
"395","Cyp2a2",24895,"rno:24895"
"396","Cyp2a3",24299,"rno:24299"
"397","Cyp2b1",24300,"rno:24300"
"398","Cyp2b2",361523,"rno:361523"
"399","Cyp2c11",29277,"rno:29277"
"400","Cyp2c12",25011,"rno:25011"
"401","Cyp2d2",25053,"rno:25053"
"402","Cyp2d3",24303,"rno:24303"
"403","Cyp2e1",25086,"rno:25086"
"404","Cyp2f4",54246,"rno:54246"
"405","Cyp2g1",25251,"rno:25251"
"406","Cyp4a2",24306,"rno:24306"
"407","Cyp4b1",24307,"rno:24307"
"408","Cyp51",25427,"rno:25427"
"409","Cyp7a1",25428,"rno:25428"
"410","Cyp7b1",25429,"rno:25429"
"411","Dgkb",54248,"rno:54248"
"412","Dbh",25699,"rno:25699"
"413","Dbi",25045,"rno:25045"
"414","Dbp",24309,"rno:24309"
"415","Dcc",25311,"rno:25311"
"416","Ace",24310,"rno:24310"
"417","Ddc",24311,"rno:24311"
"418","Ddn",25113,"rno:25113"
"419","Cfd",54249,"rno:54249"
"420","Dgkg",25666,"rno:25666"
"421","Dhfr",24312,"rno:24312"
"422","Cyb5r3",25035,"rno:25035"
"423","Nqo1",24314,"rno:24314"
"424","Dio1",25430,"rno:25430"
"425","Dlg1",25252,"rno:25252"
"426","Dlx5",25431,"rno:25431"
"427","Dmd",24907,"rno:24907"
"428","Dmp1",25312,"rno:25312"
"429","Dnase1",25633,"rno:25633"
"430","Dync1h1",29489,"rno:29489"
"431","Dync1i1",29564,"rno:29564"
"432","Dnm2",25751,"rno:25751"
"433","Dpm2",29640,"rno:29640"
"434","Dpp4",25253,"rno:25253"
"435","Prl8a2",24315,"rno:24315"
"436","Dpysl2",25416,"rno:25416"
"437","Drd1",24316,"rno:24316"
"438","Drd2",24318,"rno:24318"
"439","Drd3",29238,"rno:29238"
"440","Drd4",25432,"rno:25432"
"441","Drd5",25195,"rno:25195"
"442","Dspp",25254,"rno:25254"
"443","Hbegf",25433,"rno:25433"
"444","Dyrk1a",25255,"rno:25255"
"445","Sparcl1",25434,"rno:25434"
"446","Edn1",24323,"rno:24323"
"447","Edn2",24324,"rno:24324"
"448","Edn3",366270,"rno:366270"
"449","Ednra",24326,"rno:24326"
"450","Ednrb",50672,"rno:50672"
"451","Eef2k",25435,"rno:25435"
"452","Efnb1",25186,"rno:25186"
"453","Efnb3",360546,"rno:360546"
"454","Egf",25313,"rno:25313"
"455","Egfr",24329,"rno:24329"
"456","Egr1",24330,"rno:24330"
"457","Egr3",25148,"rno:25148"
"458","Egr4",25129,"rno:25129"
"459","Cela1",24331,"rno:24331"
"460","Cela2a",24332,"rno:24332"
"461","Kcnh8",246325,"rno:246325"
"462","Emd",25437,"rno:25437"
"463","Emp1",25314,"rno:25314"
"464","Eno1",24333,"rno:24333"
"465","Eno2",24334,"rno:24334"
"466","Eno3",25438,"rno:25438"
"467","Ephb1",24338,"rno:24338"
"468","Ephx1",25315,"rno:25315"
"469","Stx2",25130,"rno:25130"
"470","Epo",24335,"rno:24335"
"471","Epor",24336,"rno:24336"
"472","Erbb2",24337,"rno:24337"
"473","Ces1c",24346,"rno:24346"
"474","Esr1",24890,"rno:24890"
"475","Esr2",25149,"rno:25149"
"476","Ets1",24356,"rno:24356"
"477","F2r",25439,"rno:25439"
"478","F3",25584,"rno:25584"
"479","F9",24946,"rno:24946"
"480","Fabp1",24360,"rno:24360"
"481","Fabp2",25598,"rno:25598"
"482","Fabp6",25440,"rno:25440"
"483","Fancc",24361,"rno:24361"
"484","Fbln5",29158,"rno:29158"
"485","Fbp1",24362,"rno:24362"
"486","Fcer1a",25047,"rno:25047"
"487","Ms4a2",25316,"rno:25316"
"488","Fcer1g",25441,"rno:25441"
"489","Fga",361969,"rno:361969"
"490","Fgb",24366,"rno:24366"
"491","Fgf1",25317,"rno:25317"
"492","Fgf10",25443,"rno:25443"
"493","Fgf17",29368,"rno:29368"
"494","Fgf18",29369,"rno:29369"
"495","Fgf2",54250,"rno:54250"
"496","Fgf9",25444,"rno:25444"
"497","Fgfr2",25022,"rno:25022"
"498","Fgfr4",25114,"rno:25114"
"499","Fgg",24367,"rno:24367"
"500","Fh",24368,"rno:24368"
"501","Fhl1",25177,"rno:25177"
"502","Fkbp1a",25639,"rno:25639"
"503","Foxg1",24370,"rno:24370"
"504","Flg",24641,"rno:24641"
"505","Flt1",54251,"rno:54251"
"506","Fmo1",25256,"rno:25256"
"507","Fmr1",24948,"rno:24948"
"508","Fn1",25661,"rno:25661"
"509","Fnta",25318,"rno:25318"
"510","Fos",314322,"rno:314322"
"511","Fosl1",25445,"rno:25445"
"512","Fosl2",25446,"rno:25446"
"513","Fshb",25447,"rno:25447"
"514","Cenpi",25448,"rno:25448"
"515","Fshr",25449,"rno:25449"
"516","Fst",24373,"rno:24373"
"517","Fth1",25319,"rno:25319"
"518","Fuca1",24375,"rno:24375"
"519","Fut1",81919,"rno:81919"
"520","Fut2",58924,"rno:58924"
"521","Mid1",54252,"rno:54252"
"522","Fyn",25150,"rno:25150"
"523","Xrcc6",25019,"rno:25019"
"524","G6pc",25634,"rno:25634"
"525","G6pd",24377,"rno:24377"
"526","G8",54253,"rno:54253"
"527","Gabra3",24947,"rno:24947"
"528","Gabrb1",25450,"rno:25450"
"529","Gabrb2",25451,"rno:25451"
"530","Gabrb3",24922,"rno:24922"
"531","Gad1",24379,"rno:24379"
"532","Gad2",24380,"rno:24380"
"533","Gadd45a",25112,"rno:25112"
"534","Galr1",50577,"rno:50577"
"535","Galr2",29234,"rno:29234"
"536","Galr3",29235,"rno:29235"
"537","Gamt",25257,"rno:25257"
"538","Ganc",24382,"rno:24382"
"539","Gapdh",24383,"rno:24383"
"540","Gast",25320,"rno:25320"
"541","Gata1",25172,"rno:25172"
"542","Gata2",25159,"rno:25159"
"543","Gata4",54254,"rno:54254"
"544","Gata6",29300,"rno:29300"
"545","Gc",24384,"rno:24384"
"546","Gcg",24952,"rno:24952"
"547","Gcgr",24953,"rno:24953"
"548","Gck",24385,"rno:24385"
"549","Gckr",25658,"rno:25658"
"550","Gdf11",29454,"rno:29454"
"551","Gdf15",29455,"rno:29455"
"552","Gdi1",25183,"rno:25183"
"553","Gdnf",25453,"rno:25453"
"554","Gfap",24387,"rno:24387"
"555","Gfi1",24388,"rno:24388"
"556","Gfra1",25454,"rno:25454"
"557","Ggh",25455,"rno:25455"
"558","Ggt1",116568,"rno:116568"
"559","Ggt5",29566,"rno:29566"
"560","Gh1",24391,"rno:24391"
"561","Ghr",25235,"rno:25235"
"562","Ghrhr",25321,"rno:25321"
"563","Gipr",25024,"rno:25024"
"564","Gja1",24392,"rno:24392"
"565","Gja4",25655,"rno:25655"
"566","Gja5",50563,"rno:50563"
"567","Gja6",54256,"rno:54256"
"568","Gjd2",50564,"rno:50564"
"569","Gjb3",29585,"rno:29585"
"570","Gjb5",29586,"rno:29586"
"571","Glo1",294320,"rno:294320"
"572","Glp1r",25051,"rno:25051"
"573","Glra1",25674,"rno:25674"
"574","Glra2",24397,"rno:24397"
"575","Glrb",25456,"rno:25456"
"576","Gls",24398,"rno:24398"
"577","Glud1",24399,"rno:24399"
"578","Gip",25040,"rno:25040"
"579","Glul",24957,"rno:24957"
"580","Slc2a4",25139,"rno:25139"
"581","Glycam1",25258,"rno:25258"
"582","Gnai1",25686,"rno:25686"
"583","Gnai3",25643,"rno:25643"
"584","Gnal",24611,"rno:24611"
"585","Gnas",24896,"rno:24896"
"586","Gnaz",25740,"rno:25740"
"587","Gnb1",24400,"rno:24400"
"588","Gnmt",25134,"rno:25134"
"589","Gnrh1",25194,"rno:25194"
"590","Got1",24401,"rno:24401"
"591","Got2",25721,"rno:25721"
"592","Gp5",25259,"rno:25259"
"593","Gpc3",25236,"rno:25236"
"594","Gpd2",25062,"rno:25062"
"595","Gpi",292804,"rno:292804"
"596","Gpr1",25457,"rno:25457"
"597","Gpx1",24404,"rno:24404"
"598","Tle5",29466,"rno:29466"
"599","Grik1",29559,"rno:29559"
"600","Grik2",54257,"rno:54257"
"601","Grik4",24406,"rno:24406"
"602","Grik5",24407,"rno:24407"
"603","Grin1",24408,"rno:24408"
"604","Grin2a",24409,"rno:24409"
"605","Grin2b",24410,"rno:24410"
"606","Grin2c",24411,"rno:24411"
"607","Grin2d",24412,"rno:24412"
"608","Nr3c1",24413,"rno:24413"
"609","Grm1",24414,"rno:24414"
"610","Grm2",24415,"rno:24415"
"611","Grm3",24416,"rno:24416"
"612","Grm4",24417,"rno:24417"
"613","Grm5",24418,"rno:24418"
"614","Grm6",24419,"rno:24419"
"615","Grpr",24938,"rno:24938"
"616","Gspt1",24420,"rno:24420"
"617","Gss",25458,"rno:25458"
"618","Gsta1",24421,"rno:24421"
"619","Gsta2",24422,"rno:24422"
"620","Gstm1",24423,"rno:24423"
"621","Gstm2",24424,"rno:24424"
"622","Gstp1",24426,"rno:24426"
"623","Gstt1",25260,"rno:25260"
"624","Guca2a",25656,"rno:25656"
"625","Gucy1b1",25202,"rno:25202"
"626","Gucy1b2",25206,"rno:25206"
"627","Gucy2c",25711,"rno:25711"
"628","Gusb",24434,"rno:24434"
"629","Gys2",25623,"rno:25623"
"630","H19",309122,"rno:309122"
"631","Hist1h1e",201097,"rno:201097"
"632","H1f0",24437,"rno:24437"
"633","Hist1h1t",24438,"rno:24438"
"634","Hagh",24439,"rno:24439"
"635","Has2",25694,"rno:25694"
"636","Hba-a1",25632,"rno:25632"
"637","Hbb",24440,"rno:24440"
"638","Hck",25734,"rno:25734"
"639","Hcrt",25723,"rno:25723"
"640","Hcrtr1",25593,"rno:25593"
"641","Hcrtr2",25605,"rno:25605"
"642","Hdc",24443,"rno:24443"
"643","Hexa",300757,"rno:300757"
"644","Hfe",29199,"rno:29199"
"645","Hgf",24446,"rno:24446"
"646","Hk1",25058,"rno:25058"
"647","Hk2",25059,"rno:25059"
"648","Hk3",25060,"rno:25060"
"649","Hmbs",25709,"rno:25709"
"650","Hmgb1",25459,"rno:25459"
"651","Hmgcr",25675,"rno:25675"
"652","Hmgcs2",24450,"rno:24450"
"653","Hmmr",25460,"rno:25460"
"654","Hmox1",24451,"rno:24451"
"655","Foxa1",25098,"rno:25098"
"656","Foxa2",25099,"rno:25099"
"657","Foxa3",25100,"rno:25100"
"658","Hnf4a",25735,"rno:25735"
"659","Onecut1",25231,"rno:25231"
"660","Hoxa4",100912525,"rno:100912525"
"661","Hoxc8",24460,"rno:24460"
"662","Hp",24464,"rno:24464"
"663","Hprt1",24465,"rno:24465"
"664","Hras",293621,"rno:293621"
"665","Pla2g16",24913,"rno:24913"
"666","Hrh1",24448,"rno:24448"
"667","Hrh2",25461,"rno:25461"
"668","Hsd11b1",25116,"rno:25116"
"669","Hsd11b2",25117,"rno:25117"
"670","Hsd17b1",25322,"rno:25322"
"671","Hsd17b7",29540,"rno:29540"
"672","Hsd3b5",24470,"rno:24470"
"673","Hspa1b",24472,"rno:24472"
"674","Hspa5",25617,"rno:25617"
"675","Hspe1",25462,"rno:25462"
"676","Htr1a",24473,"rno:24473"
"677","Htr1b",25075,"rno:25075"
"678","Htr1d",25323,"rno:25323"
"679","Htr2c",25187,"rno:25187"
"680","Htr4",25324,"rno:25324"
"681","Htr5a",25689,"rno:25689"
"682","Iapp",24476,"rno:24476"
"683","Ibsp",24477,"rno:24477"
"684","Icam1",25464,"rno:25464"
"685","Id1",25261,"rno:25261"
"686","Id2",25587,"rno:25587"
"687","Id3",25585,"rno:25585"
"688","Ide",25700,"rno:25700"
"689","Idh1",24479,"rno:24479"
"690","Idh3g",25179,"rno:25179"
"691","Ifnb1",24481,"rno:24481"
"692","Ifng",25712,"rno:25712"
"693","Ifrd1",29596,"rno:29596"
"694","Igf1",24482,"rno:24482"
"695","Igf1r",25718,"rno:25718"
"696","Igf2",24483,"rno:24483"
"697","Igf2r",25151,"rno:25151"
"698","Igfbp1",25685,"rno:25685"
"699","Igfbp2",25662,"rno:25662"
"700","Igfbp3",24484,"rno:24484"
"701","Igfbp4",360622,"rno:360622"
"702","Igfbp5",25285,"rno:25285"
"703","Igfbp6",25641,"rno:25641"
"704","Ighe",299351,"rno:299351"
"705","Il10",25325,"rno:25325"
"706","Il15",25670,"rno:25670"
"707","Il17a",301289,"rno:301289"
"708","Il18",29197,"rno:29197"
"709","Il1a",24493,"rno:24493"
