"","Approved.symbol","NCBI.Gene.ID","keggGene"
"1","Asip",24152,"rno:24152"
"2","A2m",24153,"rno:24153"
"3","Aanat",25120,"rno:25120"
"4","Abcd3",25270,"rno:25270"
"5","Acadl",25287,"rno:25287"
"6","Acadm",24158,"rno:24158"
"7","Acadsb",25618,"rno:25618"
"8","Acadvl",25363,"rno:25363"
"9","Acsl1",25288,"rno:25288"
"10","Acat1",25014,"rno:25014"
"11","Asic2",25364,"rno:25364"
"12","Acly",24159,"rno:24159"
"13","Aco1",50655,"rno:50655"
"14","Acp1",24161,"rno:24161"
"15","Acp2",24162,"rno:24162"
"16","Acp5",25732,"rno:25732"
"17","Acpp",56780,"rno:56780"
"18","Acr",24163,"rno:24163"
"19","Acta1",29437,"rno:29437"
"20","Actc1",29275,"rno:29275"
"21","Actg2",25365,"rno:25365"
"22","Acvr2b",25366,"rno:25366"
"23","Acvrl1",25237,"rno:25237"
"24","Acy1",300981,"rno:300981"
"25","Ada",24165,"rno:24165"
"26","Adam10",29650,"rno:29650"
"27","Adarb1",25367,"rno:25367"
"28","Adcy4",54223,"rno:54223"
"29","Adcy6",25289,"rno:25289"
"30","Adcy8",29241,"rno:29241"
"31","Adcyap1",24166,"rno:24166"
"32","Adcyap1r1",24167,"rno:24167"
"33","Add1",24170,"rno:24170"
"34","Add2",24171,"rno:24171"
"35","Add3",25230,"rno:25230"
"36","Adh1",24172,"rno:24172"
"37","Adk",25368,"rno:25368"
"38","Adm",25026,"rno:25026"
"39","Adora1",29290,"rno:29290"
"40","Adora2a",25369,"rno:25369"
"41","Adora2b",29316,"rno:29316"
"42","Adora3",25370,"rno:25370"
"43","Adprh",25371,"rno:25371"
"44","Parp1",25591,"rno:25591"
"45","Adra1b",24173,"rno:24173"
"46","Adra1a",29412,"rno:29412"
"47","Adra2a",25083,"rno:25083"
"48","Adra2b",24174,"rno:24174"
"49","Adra2c",24175,"rno:24175"
"50","Adrb1",24925,"rno:24925"
"51","Adrb2",24176,"rno:24176"
"52","Adrb3",25645,"rno:25645"
"53","Grk2",25238,"rno:25238"
"54","Grk3",25372,"rno:25372"
"55","Ap1b1",29663,"rno:29663"
"56","Afp",24177,"rno:24177"
"57","Agrn",25592,"rno:25592"
"58","Agrp",25582,"rno:25582"
"59","Agt",24179,"rno:24179"
"60","Agtr1a",24180,"rno:24180"
"61","Agtr1b",81638,"rno:81638"
"62","Agtr2",24182,"rno:24182"
"63","Agxt",24792,"rno:24792"
"64","Ahr",25690,"rno:25690"
"65","Ahsg",25373,"rno:25373"
"66","Ak1",24183,"rno:24183"
"67","Ak2",24184,"rno:24184"
"68","Ak4",29223,"rno:29223"
"69","Akap11",498549,"rno:498549"
"70","Akt1",24185,"rno:24185"
"71","Akt2",25233,"rno:25233"
"72","Alad",25374,"rno:25374"
"73","Alas2",25748,"rno:25748"
"74","Alb",24186,"rno:24186"
"75","Aldh1a1",24188,"rno:24188"
"76","Aldh3a1",25375,"rno:25375"
"77","Aldoa",24189,"rno:24189"
"78","Aldob",24190,"rno:24190"
"79","Aldoc",24191,"rno:24191"
"80","Akr1b1",24192,"rno:24192"
"81","Alox5",25290,"rno:25290"
"82","Alox5ap",29624,"rno:29624"
"83","Alpi",24197,"rno:24197"
"84","Alpl",25586,"rno:25586"
"85","Ambn",25376,"rno:25376"
"86","Ambp",25377,"rno:25377"
"87","Amd1",81640,"rno:81640"
"88","Amelx",29160,"rno:29160"
"89","Amh",25378,"rno:25378"
"90","Ampd1",25028,"rno:25028"
"91","Ampd2",362015,"rno:362015"
"92","Ampd3",25095,"rno:25095"
"93","Amy1a",24203,"rno:24203"
"94","Andpro",25030,"rno:25030"
"95","Anxa1",25380,"rno:25380"
"96","Anxa3",25291,"rno:25291"
"97","Anxa5",25673,"rno:25673"
"98","Apbb1",29722,"rno:29722"
"99","Apc",24205,"rno:24205"
"100","Speg",363256,"rno:363256"
"101","Apeh",24206,"rno:24206"
"102","Apex1",79116,"rno:79116"
"103","Aplp2",64312,"rno:64312"
"104","Apob",54225,"rno:54225"
"105","Apoa1",25081,"rno:25081"
"106","Apoa2",25649,"rno:25649"
"107","Apoa4",25080,"rno:25080"
"108","Apobec1",25383,"rno:25383"
"109","Apoc1",25292,"rno:25292"
"110","Apoc2",292697,"rno:292697"
"111","Apoc3",24207,"rno:24207"
"112","Apod",25239,"rno:25239"
"113","Apoe",25728,"rno:25728"
"114","App",54226,"rno:54226"
"115","Aqp1",25240,"rno:25240"
"116","Aqp2",25386,"rno:25386"
"117","Aqp4",25293,"rno:25293"
"118","Aqp5",25241,"rno:25241"
"119","Aqp7",29171,"rno:29171"
"120","Aqp8",29172,"rno:29172"
"121","Ar",24208,"rno:24208"
"122","Araf",64363,"rno:64363"
"123","Areg",29183,"rno:29183"
"124","Arg1",29221,"rno:29221"
"125","Arg2",29215,"rno:29215"
"126","Arl4a",29308,"rno:29308"
"127","Arnt",25242,"rno:25242"
"128","Arnt2",25243,"rno:25243"
"129","Arpc1b",54227,"rno:54227"
"130","Arrb1",25387,"rno:25387"
"131","Arrb2",25388,"rno:25388"
"132","Arsb",25227,"rno:25227"
"133","Ascl2",24209,"rno:24209"
"134","Asgr1",24210,"rno:24210"
"135","Asgr2",29403,"rno:29403"
"136","Asns",25612,"rno:25612"
"137","Ass1",25698,"rno:25698"
"138","Atf3",25389,"rno:25389"
"139","Atp1a1",24211,"rno:24211"
"140","Atp1a2",24212,"rno:24212"
"141","Atp1a3",24213,"rno:24213"
"142","Atp1b1",25650,"rno:25650"
"143","Atp1b2",24214,"rno:24214"
"144","Atp1b3",25390,"rno:25390"
"145","Fxyd2",29639,"rno:29639"
"146","Atp2a2",29693,"rno:29693"
"147","Atp2a3",25391,"rno:25391"
"148","Atp2b2",24215,"rno:24215"
"149","Atp4a",24216,"rno:24216"
"150","Atp4b",24217,"rno:24217"
"151","Atp7a",24941,"rno:24941"
"152","Atp7b",24218,"rno:24218"
"153","Atp5if1",25392,"rno:25392"
"154","Avp",24221,"rno:24221"
"155","Avpr1a",25107,"rno:25107"
"156","Avpr2",25108,"rno:25108"
"157","Azgp1",25294,"rno:25294"
"158","B2m",24223,"rno:24223"
"159","Baat",29725,"rno:29725"
"160","Bace1",29392,"rno:29392"
"161","Bax",24887,"rno:24887"
"162","Bc1",29294,"rno:29294"
"163","Bcan",25393,"rno:25393"
"164","Bcat1",29592,"rno:29592"
"165","Bckdha",25244,"rno:25244"
"166","Bckdhb",29711,"rno:29711"
"167","Bckdk",29603,"rno:29603"
"168","Bcl2",24224,"rno:24224"
"169","Bcl2l1",24888,"rno:24888"
"170","Bdkrb2",25245,"rno:25245"
"171","Bdnf",24225,"rno:24225"
"172","Bet1",29631,"rno:29631"
"173","Cfb",294257,"rno:294257"
"174","Bfsp1",25394,"rno:25394"
"175","Bglap",25295,"rno:25295"
"176","Bgn",25181,"rno:25181"
"177","Wdr46",309628,"rno:309628"
"178","Bmp2",29373,"rno:29373"
"179","Bmp3",25667,"rno:25667"
"180","Bmp4",25296,"rno:25296"
"181","Bmp6",25644,"rno:25644"
"182","Brca1",497672,"rno:497672"
"183","Brca2",360254,"rno:360254"
"184","Bsg",25246,"rno:25246"
"185","Nsg1",25247,"rno:25247"
"186","Bsn",29138,"rno:29138"
"187","Btg1",29618,"rno:29618"
"188","Btg2",29619,"rno:29619"
"189","Btg3",54230,"rno:54230"
"190","Tspo",24230,"rno:24230"
"191","C1qb",29687,"rno:29687"
"192","C1qbp",29681,"rno:29681"
