id	Exp1.10min.vs.BL.P1	Exp1.10min.vs.BL.P2	Exp1.10min.vs.BL.P3	Exp1.10min.vs.BL.P4	Exp2.1h.vs.BL.P1	Exp2.1h.vs.BL.P2	Exp2.1hr.vs.BL.P3	Exp2.1hr.vs.BL.P4	Exp3.4h.vs.BL.P1	Exp3.4h.vs.BL.P2	Exp3.4hr.vs.BL.P3	Exp3.4hr.vs.BL.P4
Q07954	-0.208	-0.126	-0.131	0.014	-0.193	-0.106	-0.154	-0.135	-0.262	-0.103	-0.089	-0.169
P98160	-0.044	0.04	0.053	0.084	0.004	0.057	0.091	0.048	-0.088	0.045	0.092	0.033
P12111	-0.04	-0.026	-0.012	-0.054	-0.079	-0.023	-0.051	-0.061	-0.165	-0.031	-0.046	-0.039
P22105	-0.052	0.02	0.002	-0.016	-0.039	0.018	-0.012	-0.001	-0.122	-0.028	-0.018	-0.016
B0V046	-0.054	0.019	0.003	-0.016	-0.038	0.013	-0.01	-0.002	-0.123	-0.028	-0.022	-0.017
B0UYX3	-0.057	0.021	0.001	-0.016	-0.038	0.018	-0.021	-0.002	-0.121	-0.03	-0.024	-0.019
P04275	-0.042	0.038	0.23	0.004	0.026	0.105	0.318	0.016	-0.034	0.137	0.325	0.016
Q9Y6R7	-0.018	0.013	0.033	-0.005	0.03	0.026	0.015	0.016	-0.069	-0.028	0.042	0.002
B7ZW00	-0.042	-0.028	-0.016	-0.05	-0.088	-0.03	-0.049	-0.059	-0.164	-0.039	-0.049	-0.047
B7ZMJ7	-0.04	-0.029	-0.018	-0.05	-0.088	-0.024	-0.049	-0.056	-0.165	-0.032	-0.047	-0.044
Q9Y490	-0.671	-0.399	0.542	0.388	-0.687	-0.651	0.081	0.842	-0.091	-0.102	-0.696	0.623
P21333	-0.061	0.242	0.474	0.63	0.048	0.343	0.538	0.781	0.071	0.45	0.324	0.468
P35555	0.007	0.047	0.036	-0.024	-0.059	0.085	0.033	0.007	0.02	-0.025	0	-0.004
P01023	0.074	-0.198	0.183	-0.076	-0.184	-0.213	0.199	-0.104	-0.056	-0.048	0.373	-0.054
C0JYY2	-0.028	-0.56	-0.726	-0.805	-0.35	-0.594	-0.51	-0.837	0.336	-0.257	-0.107	-0.249
P11717	-0.072	-0.015	0.011	-0.059	-0.046	-0.007	-0.044	-0.009	-0.097	-0.08	-0.023	-0.061
P00450	0.024	-0.355	0.423	-0.162	-0.15	-0.323	0.343	-0.127	-0.126	0.18	0.56	0.117
P04114	-0.028	-0.544	-0.722	-0.804	-0.34	-0.575	-0.512	-0.84	0.331	-0.253	-0.106	-0.244
P12259	-0.144	0.179	-0.034	-0.417	-0.37	0.203	0.001	-0.272	-0.302	0.039	-0.094	-0.12
A8K5A4	0.028	-0.358	0.427	-0.163	-0.15	-0.327	0.346	-0.126	-0.123	0.18	0.562	0.117
P24821	-0.044	-0.025	-0.012	-0.073	0.005	-0.013	-0.053	-0.034	-0.041	-0.009	0.034	-0.05
P24821-4	-0.045	-0.025	-0.012	-0.075	0.002	-0.014	-0.053	-0.034	-0.042	-0.012	0.032	-0.053
B7Z5Q2	0.028	-0.368	0.422	-0.158	-0.147	-0.342	0.34	-0.146	-0.128	0.172	0.56	0.133
Q4LDE5	-0.115	-0.031	0.002	-0.218	-0.257	-0.021	0.054	-0.203	-0.213	-0.003	-0.072	-0.154
P24043	-0.028	0.018	0.026	0.005	0.052	0.039	0.013	-0.044	-0.008	0.007	0.099	-0.045
B4E1Z4	0.011	-0.015	-0.005	-0.01	-0.09	-0.02	-0.014	-0.033	-0.14	-0.03	0.006	-0.041
B9EJA8	-0.021	-0.006	0.088	-0.052	0.023	0.06	0.061	-0.011	0.012	0.007	0.121	0.003
P24821-5	-0.037	-0.018	-0.006	-0.092	0.01	-0.006	-0.053	-0.052	-0.026	-0.019	0.043	-0.055
A2BHY4	0.663	-0.758	-0.304	-1.542	0.156	-0.625	-1.123	-0.734	0.486	-0.663	-1.356	-0.854
Q5JNX2	0.694	-0.761	-0.308	-1.501	0.161	-0.632	-1.145	-0.729	0.497	-0.664	-1.36	-0.85
D3YHM4	-0.035	-0.018	-0.009	-0.088	0.008	-0.008	-0.053	-0.058	-0.024	-0.008	0.037	-0.054
Q6U2E9	0.664	-0.768	-0.3	-1.538	0.155	-0.616	-1.128	-0.729	0.493	-0.665	-1.384	-0.85
P0C0L5	0.685	-0.811	-0.309	-1.552	0.158	-0.639	-1.143	-0.743	0.481	-0.687	-1.382	-0.857
P18206	0.002	0.068	0.2	0.137	0.08	0.166	0.291	0.275	0.486	0.407	0.511	0.284
B4E3U5	-0.066	-0.029	-0.009	-0.037	-0.097	-0.035	-0.049	-0.041	-0.188	-0.032	-0.057	-0.03
P24821-6	-0.03	-0.026	-0.001	-0.094	0.01	-0.002	-0.041	-0.043	-0.029	-0.029	0.044	-0.054
P01031	0.636	-0.893	-0.16	-1.302	0.157	-0.748	-0.893	-0.522	0.584	-0.815	-1.054	-0.546
P01024	-0.283	-0.489	-1.583	-1.79	-0.352	-0.455	-1.118	-1.971	-0.406	-0.51	-0.168	-2.068
P06727	-0.002	0.029	0.018	0.031	-0.098	-0.02	-0.009	0.005	-0.146	-0.163	-0.186	-0.108
C9J243	0.01	-0.035	0.017	0.014	0.038	-0.045	-0.015	-0.031	-0.027	0.025	0.056	0.007
P06681	-0.038	0.003	0.023	0.007	-0.089	0.008	0.032	-0.01	-0.153	0.006	0.042	-0.015
B2RU26	-0.049	-0.993	-0.218	NA	-0.019	-0.736	-0.102	NA	-0.099	-0.542	0.123	NA
B4DV48	-0.037	0.001	0.022	0.006	-0.09	0.006	0.031	-0.012	-0.152	0.005	0.042	-0.015
P20742	-0.018	-0.166	0.116	-0.058	-0.215	-0.198	0.114	-0.122	-0.179	-0.054	0.233	-0.046
P78509	-0.09	-0.029	0.079	-0.063	-0.078	0.012	0.178	-0.003	-0.13	-0.009	0.082	0.011
O00391	-0.053	-0.017	-0.002	-0.079	-0.111	-0.048	-0.036	-0.032	-0.175	-0.036	-0.074	-0.005
Q7Z7M0	-0.09	-0.077	-0.069	-0.015	-0.073	-0.056	-0.086	-0.061	-0.146	-0.105	-0.06	-0.098
P08603	0.639	-0.848	-0.395	-1.527	0.157	-0.598	-1.248	-1.036	0.434	-0.794	-1.089	-1.028
B4DPF3	-0.046	0.005	0.018	0.028	-0.09	0.002	0.022	0.013	-0.154	-0.001	0.032	-0.006
P14625	-0.064	-0.014	0.031	-0.073	-0.107	0.016	0.04	0.029	0.26	-0.054	-0.053	0.008
Q12860	-0.041	-0.003	0.067	-0.054	-0.044	-0.007	0.016	-0.025	-0.144	-0.053	0.059	-0.059
P00747	0.669	-0.673	-0.026	-1.897	0.07	-0.415	-1.324	-1.49	0.754	-0.658	-1.247	-1.118
P10586	-0.04	0.043	0.056	0.042	-0.054	0.095	0.068	0.073	-0.013	0.129	0.144	0.053
Q09666	0.035	0.029	-0.116	-0.031	-0.091	0.012	-0.011	-0.017	0.155	0.094	0.197	-0.066
P31327	-0.026	-0.119	0.135	0.035	1.058	-0.508	-0.087	0.017	1.844	-0.229	-0.692	-0.007
A8K5T0	0.643	-0.852	-0.395	-1.549	0.152	-0.609	-1.244	-1.036	0.435	-0.807	-1.085	-1.014
Q99715	-0.032	-0.014	0.002	-0.068	-0.009	-0.004	0.028	-0.026	-0.077	-0.055	0.042	-0.055
Q0PNF2	-0.035	-0.061	-0.03	-0.048	-0.083	-0.026	-0.024	-0.055	-0.122	-0.056	-0.141	-0.024
Q9NY15	-0.035	-0.063	-0.029	-0.045	-0.086	-0.027	-0.024	-0.052	-0.122	-0.056	-0.142	-0.024
Q6UVK1	0.002	-0.014	0.037	0.02	-0.045	-0.002	0.025	-0.023	-0.089	0.019	0.084	-0.003
Q16706	-0.054	0.019	0.042	-0.063	-0.231	-0.008	0.061	-0.014	-0.142	-0.099	-0.169	0.003
Q6YHK3	-0.049	0.024	0.067	-0.054	-0.004	0.004	0.007	-0.026	-0.11	-0.058	0.05	-0.04
Q5R206	-0.026	-0.133	0.036	0.172	1.047	-0.497	-0.248	0.15	1.836	-0.216	-0.474	0.047
O00391-2	-0.057	-0.017	-0.005	-0.079	-0.114	-0.047	-0.044	-0.036	-0.171	-0.036	-0.079	-0.003
P13796	-0.049	-0.017	0.04	-0.081	-0.066	-0.002	-0.008	-0.009	-0.063	-0.035	0.006	-0.022
A5PKX5	-0.047	0.024	0.046	-0.061	-0.235	-0.006	0.061	-0.018	-0.142	-0.097	-0.167	-0.001
Q13822-3	-0.102	0.026	0.052	-0.023	-0.03	0.069	0.044	0.021	-0.106	0.02	-0.033	0.009
P07942	0.003	0.01	0.045	0.003	0.071	0.051	0.024	0.001	0.035	-0.042	0.049	-0.047
O75882	0.017	-0.003	0.094	0.021	0.065	0.04	0.055	0.03	0.004	-0.022	0.07	0.049
P26927	-0.079	0.039	0.045	0.001	-0.141	0.046	0.028	0.017	-0.197	-0.026	-0.012	-0.003
P02768	0.111	-0.559	-1.545	-1.106	1.133	-0.401	-0.85	-1.83	0.102	-0.607	0.353	-2.4
Q96RW7	-0.048	-0.053	-0.019	0.036	-0.049	-0.062	0.024	-0.009	-0.091	-0.044	0.034	-0.051
P35908	-0.852	-0.062	-0.019	-0.055	-0.755	0.07	0.05	-0.094	-0.854	0.818	0.061	0.723
P54289	-0.003	0.028	0.058	-0.022	0.021	0.025	-0.005	-0.064	-0.118	-0.089	0.014	-0.061
P06737	0.062	0.054	0.047	0.184	0.725	0.129	0.089	0.199	1.523	0.262	0.004	0.187
Q9UIU0	0.01	0.032	0.059	-0.022	0.021	0.024	-0.005	-0.064	-0.118	-0.074	0.014	-0.061
Q14315	0.039	0.077	-0.025	0.142	0.072	0.079	-0.051	0.118	0.155	0.18	0.088	0.125
P04264	-0.818	-0.006	0.002	-0.116	-0.214	0.4	-0.35	-0.187	0.144	0.689	-0.871	0.446
P02751	0.593	-0.845	-0.795	-0.893	0.226	-0.78	-0.751	-0.65	0.647	-0.73	-0.576	-0.75
A8K4C2	-0.059	-0.019	0.003	-0.076	-0.114	-0.048	-0.026	-0.03	-0.162	-0.042	-0.078	-0.001
B2RBS8	0.125	-0.598	-1.57	-1.13	1.14	-0.437	-0.86	-1.847	0.112	-0.639	0.357	-2.484
P02787	0.315	-0.539	-1.092	-0.863	0.467	-0.502	-0.113	-1.381	0.184	-0.446	0.346	-1.827
B7ZLE5	0.596	-0.84	-0.801	-0.892	0.249	-0.776	-0.755	-0.645	0.654	-0.727	-0.577	-0.749
P54289-4	-0.004	0.03	0.058	-0.02	0.021	0.025	-0.002	-0.055	-0.117	-0.088	0.02	-0.061
P26038	0.01	0.084	0.101	0.079	0.22	0.16	0.132	0.18	0.44	0.156	0.291	0.167
Q12884	-0.045	0.015	0.034	-0.023	0.018	0.003	-0.055	-0.017	-0.129	-0.104	0.001	-0.05
P07996	1.092	0.073	0.469	0.158	0.949	0.018	0.057	0.31	0.613	-0.253	0.763	-0.354
B4E1B2	0.316	-0.524	-1.09	-0.826	0.443	-0.498	-0.108	-1.347	0.184	-0.446	0.346	-1.783
B4DPQ0	0.084	-0.095	0.063	0.1	0.063	-0.143	0.046	0.08	0.008	-0.122	0.028	0.069
P25311	-0.002	-0.093	0.015	-0.184	-0.11	-0.151	-0.232	-0.223	-0.157	0.063	-0.055	-0.037
Q56G89	0.096	-0.561	-1.623	-1.107	1.138	-0.406	-0.892	-1.843	0.098	-0.632	0.348	-2.451
P12821	-0.05	0.016	0.082	-0.017	0.005	0.001	0.044	0.045	-0.105	-0.054	0.057	0
Q3LX96	-0.027	0.102	-0.007	-0.111	-0.003	0.078	0.011	-0.003	-0.035	-0.052	0.133	-0.053
P07900-2	-0.052	0.04	0.106	0.207	0.284	0.204	0.112	0.247	0.814	0.317	0.129	0.208
Q3LX97	-0.031	0.102	-0.006	-0.11	-0.007	0.078	0.015	0.004	-0.035	-0.052	0.14	-0.048
D3DPG0	0.081	-0.122	-0.014	-0.056	0.04	-0.089	-0.076	-0.061	0.235	-0.076	-0.023	-0.099
Q8WZ42-8	0.082	-0.098	-0.004	-0.056	0.041	-0.049	-0.072	-0.061	0.235	-0.078	-0.023	-0.095
P15144	-0.062	0.039	0.096	-0.076	-0.031	0.018	0.052	-0.029	-0.157	-0.034	0.073	-0.052
P12883	2.3	0.042	-0.03	-0.135	0.467	-0.005	-0.266	-0.177	0.273	0.506	-0.019	0.194
Q76LX8	0.03	-0.026	0.032	0	-0.042	-0.085	0.131	-0.04	-0.181	-0.093	0.048	0.026
Q9UK55	-0.081	0.006	0.054	-0.032	-0.133	0.014	0.042	0.024	-0.162	-0.023	-0.005	-0.021
P14543	0.078	0.083	0.157	0.092	0.027	0.134	0.231	0.145	0.064	0.18	0.152	0.123
Q76LX8-2	0.037	-0.014	0.034	-0.006	-0.051	-0.077	0.139	-0.045	-0.19	-0.089	0.054	0.018
P49327	0.044	0.096	0.07	0.016	0.958	0.013	-0.049	0.037	0.998	0.03	-0.157	0.071
Q13332-2	-0.022	0.011	-0.001	-0.039	-0.095	0.002	-0.092	-0.029	-0.1	-0.044	-0.04	-0.035
Q14697-2	-0.042	-0.054	0.066	0.037	0.04	-0.009	0.078	0.031	0.3	0.113	0.146	0.104
P19320	-0.042	0.01	0.104	0.008	-0.015	0.055	0.08	0.074	-0.03	0.031	0.174	0.033
P09871	-0.109	-0.013	0.073	-0.111	-0.197	-0.039	0.077	-0.16	-0.124	0.001	0.092	-0.164
A8MYE8	-0.031	0.109	-0.008	-0.111	-0.007	0.086	0.003	-0.01	-0.044	-0.052	0.121	-0.053
B2ZZ83	0.124	0.22	0.273	0.302	0.263	0.252	0.331	0.501	0.37	0.277	0.191	0.308
P30101	-0.058	0.019	0.128	0.123	0.362	0.062	0.082	0.144	0.647	-0.003	0.113	0.098
P01009	0.185	-0.587	-1.192	-0.732	-0.317	-0.72	-0.554	-0.746	-0.117	-0.177	-0.199	-0.273
Q8NDA2	-0.042	-0.089	-0.007	-0.058	-0.105	-0.108	-0.039	-0.094	-0.097	-0.047	-0.045	-0.078
P34932	0.005	0.088	-0.002	0.083	0.116	0.197	0.079	0.097	0.465	0.258	0.307	0.167
