id	Exp1.10min.vs.BL.P1	Exp1.10min.vs.BL.P2	Exp1.10min.vs.BL.P3	Exp1.10min.vs.BL.P4	Exp2.1h.vs.BL.P1	Exp2.1h.vs.BL.P2	Exp2.1hr.vs.BL.P3	Exp2.1hr.vs.BL.P4	Exp3.4h.vs.BL.P1	Exp3.4h.vs.BL.P2	Exp3.4hr.vs.BL.P3	Exp3.4hr.vs.BL.P4
Q13332-4	-0.015	0.011	-0.004	-0.039	-0.093	0.002	-0.092	-0.029	-0.098	-0.044	-0.033	-0.035
P55268	-0.124	-0.004	0.025	-0.07	-0.042	0.009	-0.006	-0.09	-0.114	0	-0.005	-0.037
O15031	-0.005	-0.023	0.048	-0.031	-0.007	0.015	0.061	0.003	-0.068	0.014	0.075	-0.012
P06396	0.038	-0.219	0.163	-0.189	-0.2	-0.273	0.117	-0.148	-0.179	-0.178	0.037	-0.061
P11047	0.028	0.074	0.072	0.012	0.036	0.101	0.085	-0.01	0.041	0.06	0.132	-0.04
Q14697	-0.045	-0.054	0.075	0.016	0.041	-0.007	0.073	0.025	0.305	0.113	0.146	0.102
P21399	-0.019	0.075	0	0.029	0.552	0.193	0.302	-0.061	1.285	0.379	0.703	-0.04
P15924	-0.806	-0.834	0.089	-0.261	-0.349	-0.593	-0.045	-0.375	-0.195	-0.262	-0.398	-0.254
P35579	-0.332	-0.126	0.324	0.215	-0.38	-0.179	0.404	0.326	-0.308	-0.084	0.113	-0.001
P29622	0.015	0.022	0.002	-0.032	-0.125	-0.045	0.009	-0.017	-0.134	-0.015	-0.019	-0.012
O00533-2	-0.047	0.009	0.02	-0.031	-0.018	0.018	-0.029	-0.024	-0.076	-0.066	0.019	-0.052
Q86VB7	-0.095	0.052	0.04	0.019	0.004	0.113	0.004	0.071	-0.105	-0.035	0.057	0.025
P03951	-0.255	-0.673	-0.305	-0.02	-0.126	-0.798	-0.386	0.067	-0.057	-0.51	-0.194	0.17
P05546	0.007	-0.155	0.183	-0.122	-0.272	-0.184	0.188	-0.103	-0.243	-0.138	0.119	-0.031
B2RBZ5	-0.074	-0.001	0.06	-0.046	-0.132	0.013	0.062	0.019	-0.175	-0.015	0.003	-0.023
B7Z9A0	0.031	-0.221	0.16	-0.203	-0.197	-0.273	0.11	-0.16	-0.182	-0.18	0.03	-0.065
P06396-2	0.029	-0.221	0.158	-0.203	-0.196	-0.275	0.11	-0.16	-0.182	-0.18	0.03	-0.065
P33908	-0.014	0.053	0.07	-0.019	-0.074	0.031	0.069	0.009	-0.164	-0.042	0.05	0.04
B2R6V9	-0.108	0.147	0.151	-0.017	-0.031	0.177	0.127	0.004	-0.114	0.062	0.046	-0.027
A6NG18	-0.112	-0.01	0.094	-0.118	-0.202	-0.022	0.097	-0.148	-0.13	0.002	0.113	-0.174
P00488	-0.116	0.147	0.148	-0.022	-0.03	0.174	0.132	-0.01	-0.126	0.061	0.049	-0.031
P07225	-0.082	0.036	0.109	-0.072	-0.263	0.023	0.118	-0.053	-0.209	-0.123	-0.258	-0.068
Q7LBX6	-0.055	-0.038	0.028	0.011	-0.043	-0.014	0.01	0.008	-0.091	-0.05	0.051	-0.004
Q7LBX7	-0.055	-0.039	0.028	0.011	-0.043	-0.016	0.012	0.008	-0.091	-0.056	0.051	-0.017
P00451	-0.074	0.037	0.002	-0.178	-0.311	0.044	0.105	-0.145	-0.113	0.184	-0.048	-0.009
O95980	-0.031	0.001	0.049	-0.096	-0.041	0.026	-0.007	-0.051	-0.101	-0.068	0.018	-0.042
Q92859	-0.074	0.002	0.051	0.03	-0.037	-0.013	0.009	-0.02	-0.086	-0.06	0.038	0.013
Q15582	-0.069	0.013	0.028	-0.075	-0.073	0.008	0.04	0.014	-0.154	-0.066	-0.057	-0.036
C9JIG2	-0.099	0.05	0.041	0.013	0.004	0.111	0.003	0.07	-0.108	-0.035	0.055	0.025
Q06033	-0.084	-0.051	0.032	-0.185	-0.01	0.007	0.007	-0.03	0.071	0.071	-0.017	0.052
P15311	0.015	0.053	0.013	0.022	0.323	0.218	0.188	0.101	0.716	0.341	0.516	0.187
P07237	-0.113	0.056	0.141	0.071	0.423	0.135	0.203	0.094	1.182	0.079	0.077	0.098
Q14520	-0.075	-0.013	0.077	-0.059	-0.36	-0.05	0.131	0.035	-0.236	-0.193	-0.346	0.005
P13667	0.093	0.071	0.121	0.073	0.547	0.095	0.06	0.156	1.236	0.132	0.191	0.081
P13645	-0.708	0.013	0.141	-0.221	-0.806	0.047	0.293	-0.22	-0.924	0.918	-0.014	0.801
Q6P179	0.004	0.046	0.111	0.028	-0.019	0.031	0.043	0.063	-0.097	-0.048	0.103	0.069
Q9UBG0	-0.114	0.019	-0.002	-0.067	-0.023	0.016	-0.035	-0.059	-0.116	-0.066	0.023	-0.075
Q15063	-0.016	0.033	-0.005	-0.133	-0.156	0.042	-0.029	-0.011	-0.068	0.038	0.001	-0.071
B4E3J7	1.086	0.051	0.47	0.16	0.951	-0.001	0.07	0.326	0.651	-0.241	0.773	-0.342
Q5SR46	-0.105	-0.005	0.026	-0.081	-0.094	0.023	-0.027	-0.091	-0.098	-0.057	0.019	-0.061
O60462-3	-0.044	-0.036	0.025	0.017	-0.028	-0.014	0.003	0.004	-0.095	-0.05	0.044	-0.002
P01008	1.044	-0.769	-0.306	-1.686	0.371	-0.502	-1.186	-1.015	0.836	-0.734	-1.231	-1.07
B7WNR0	0.127	-0.529	-1.533	-1.112	1.145	-0.38	-0.841	-1.841	0.116	-0.578	0.348	-2.395
P08581	-0.025	0.005	0.027	-0.074	-0.094	0.036	-0.035	-0.078	-0.071	0.022	0.052	-0.015
P12814	-0.343	0.077	0.414	0.33	-0.447	-0.242	0.118	0.739	-0.078	-0.153	-0.764	0.522
B2R8K9	-0.045	0.034	0.095	-0.069	0.037	0.045	0.053	0.034	-0.111	-0.041	0.059	-0.034
B1ALD9	-0.016	0.035	-0.003	-0.133	-0.152	0.042	-0.027	-0.016	-0.077	0.04	0.009	-0.069
P80108	0.121	0.169	0.058	-0.324	0.143	0.241	0.098	0.061	0.146	0.158	0.026	0.105
B1ALD8	-0.017	0.02	-0.002	-0.136	-0.169	0.037	-0.025	-0.011	-0.071	0.033	0	-0.069
B4DKS4	-0.055	0.006	0.099	0.008	-0.019	0.053	0.08	0.081	-0.027	0.018	0.165	0.027
B2RMS9	0.741	-0.852	-0.268	-1.017	0.288	-0.702	-0.848	-0.389	0.713	-0.735	-1.056	-0.394
B7ZKJ8	0.737	-0.85	-0.269	-1.017	0.283	-0.698	-0.848	-0.389	0.689	-0.735	-1.056	-0.394
Q9NZ08	-0.022	0.068	0.101	-0.009	0.012	0.052	0.07	0.048	-0.054	-0.031	0.107	0
Q86VP6	0.002	0.139	-0.091	0.272	0.047	0.276	-0.095	0.282	0.261	0.245	0.011	0.226
P11021	-0.079	0.005	0.04	-0.034	0.067	0.031	0.048	-0.002	0.199	-0.011	0.044	0.007
A8K6H1	-0.021	0.073	0.115	-0.009	0.012	0.059	0.074	0.045	-0.084	-0.03	0.128	0.004
P29401	0.038	0.106	0.027	0.09	0.28	0.16	0.057	0.117	0.486	0.149	0.121	0.198
P49747	-0.137	-0.028	-0.038	-0.124	-0.187	-0.018	-0.073	-0.106	-0.283	-0.109	-0.153	-0.127
P11216	0.108	0.052	0.077	0.274	0.759	0.346	0.524	0.226	1.256	0.616	0.755	0.506
Q68DN3	-0.064	0.002	0.046	-0.067	-0.082	0.003	-0.038	-0.036	-0.15	-0.074	0.012	-0.01
P09960	-0.049	0.04	0.037	0.003	-0.016	0.076	-0.036	0.042	-0.059	0.098	0.067	0.063
P10643	0.562	-0.995	-0.21	-1.126	0.234	-0.74	-1.057	-0.493	0.602	-0.855	-1.201	-0.572
Q8N2S1-2	0.083	0.128	0.044	0.079	0.041	0.139	0.186	0.003	-0.023	0.155	0.129	-0.053
P13647	-0.896	-1.54	-0.074	-0.228	-0.656	-1.546	-0.243	0.267	-0.53	-0.772	-0.6	0.513
O75891	0.153	0.054	NA	NA	1.306	0.037	NA	NA	1.502	0.087	NA	NA
P55072	0.022	0.261	0.034	0.261	0.484	0.568	0.018	0.139	0.147	0.017	-0.007	0.166
Q9NZ08-2	-0.021	0.066	0.094	-0.008	0.012	0.05	0.07	0.048	-0.055	-0.03	0.107	0.001
P35443	-0.077	-0.043	-0.022	-0.117	-0.107	-0.046	-0.025	-0.12	-0.189	-0.061	-0.144	-0.055
Q9P232	-0.01	0.007	-0.004	0.019	-0.031	0.017	-0.08	0.064	-0.134	-0.063	-0.046	-0.011
Q15063-2	-0.017	0.033	-0.01	-0.139	-0.15	0.042	-0.025	-0.019	-0.064	0.026	0.003	-0.075
O14786	-0.065	0	0.047	-0.074	-0.085	0.003	-0.039	-0.044	-0.157	-0.071	0.019	-0.01
A8K9V7	-0.077	0.015	0.04	-0.066	-0.075	0.008	-0.04	-0.032	-0.15	-0.078	-0.002	0
Q6ZN40	0.253	0.2	0.263	0.474	0.662	0.452	0.543	0.851	1.235	0.962	0.628	0.82
Q14624-2	0.744	-0.841	-0.262	-1.011	0.288	-0.684	-0.841	-0.396	0.682	-0.724	-1.039	-0.392
O95479	-0.089	0.018	0.01	0.006	-0.046	0.036	-0.024	0.01	-0.139	-0.044	0.023	-0.012
B7Z5V1	0.035	-0.218	0.15	-0.203	-0.188	-0.279	0.106	-0.17	-0.182	-0.206	0.016	-0.059
P08253	-0.019	0.027	0.088	-0.019	-0.118	0.056	0.141	-0.015	-0.048	-0.005	0.059	-0.036
P02774	0.862	-0.746	-0.202	-2.121	0.192	-0.404	-1.388	-1.665	0.799	-0.8	-1.417	-1.455
P13591	-0.041	0.031	0.039	-0.029	0.018	0	-0.03	0.004	-0.063	-0.065	0.002	-0.025
A7YIJ8	0.057	0.106	0.042	0.081	0.38	0.251	0.194	0.189	0.702	0.325	0.445	0.203
P13533	2.584	-0.019	-0.038	-0.044	0.529	-0.05	-0.305	-0.168	0.064	0.379	0.094	0.054
P49641-3	-0.093	0.057	-0.013	-0.052	-0.242	0.006	-0.081	-0.023	-0.159	-0.092	-0.119	0.03
Q8TER0	-0.01	-0.056	-0.023	-0.013	-0.089	-0.055	-0.074	-0.049	-0.051	-0.096	-0.058	-0.087
D3DRR6	0.568	-0.847	-0.215	-1.378	0.169	-0.685	-1.083	-0.411	0.621	-0.782	-1.382	-0.566
D3DR24	-0.067	0.063	0	-0.035	-0.049	0.057	0.015	-0.063	-0.122	-0.01	-0.015	0.02
P19021-5	-0.106	-0.023	0.015	-0.161	-0.343	-0.031	0.058	-0.064	-0.173	-0.082	-0.156	-0.021
O94985	0.129	0.366	0.188	-0.041	0.044	0.343	0.044	-0.007	-0.09	-0.058	-0.076	-0.095
P00734	1.021	-0.968	-0.279	-1.314	0.395	-0.733	-1.363	-0.47	0.833	-0.794	-1.793	-0.646
P35858	-0.064	0.044	-0.025	0.049	-0.068	0.019	-0.015	-0.005	-0.148	0.039	-0.008	0.031
B2R6W1	0.58	-0.993	-0.215	-1.152	0.236	-0.736	-1.051	-0.492	0.604	-0.843	-1.201	-0.593
P06732	0.426	0.388	-0.165	0.317	1.496	1.137	1.047	0.638	2.032	1.664	1.776	1.565
P09493-4	0.237	0.163	0.176	0.652	0.629	0.35	0.469	0.975	1.212	0.947	0.572	0.767
O60449-2	0.016	-0.029	0.006	0.028	0.04	0.026	0.002	0.057	-0.064	0.014	0.043	0.01
P36955	-0.061	0.095	0.021	0.038	-0.093	0.042	0.003	0.013	-0.176	0.002	0.008	-0.017
P13671	0.891	-0.947	-0.228	-1.54	0.266	-0.583	-1.243	-0.991	0.74	-0.822	-1.367	-0.917
P14618-2	0.002	0.045	0.017	0.229	0.512	0.245	0.427	0.325	1.129	0.702	0.96	0.713
P14618	-0.006	0.045	0.05	0.227	0.476	0.236	0.448	0.332	1.129	0.674	0.995	0.669
Q00610	0.004	0.253	0.249	0.727	0.388	0.398	0.289	0.682	0.46	0.189	-0.011	0.272
C0IMJ2	-0.024	0.032	-0.018	-0.134	-0.17	0.037	-0.028	-0.011	-0.088	0.026	0.001	-0.075
P19021-3	-0.121	-0.023	0.015	-0.16	-0.361	-0.032	0.058	-0.065	-0.177	-0.084	-0.165	-0.017
O00187	-0.075	0.008	0.044	0.001	-0.097	0.037	-0.038	0.018	-0.208	-0.032	-0.065	-0.027
Q92823-5	-0.024	0.011	0.032	-0.016	0.009	0.021	-0.032	-0.033	-0.097	-0.016	0.054	-0.059
P13797	-0.017	0.005	0.012	-0.055	0.054	0.035	-0.019	0.021	0.14	-0.05	-0.003	0.04
Q13228	0.032	0.156	-0.123	0.142	0.377	0.34	0.059	0.195	0.563	0.223	0.176	0.217
P00748	0.018	-0.065	0.103	-0.054	-0.131	-0.098	0.091	-0.015	-0.24	0.014	0.05	0.067
P13591-1	-0.036	0.028	0.04	-0.03	0.01	0	-0.03	0.005	-0.062	-0.065	0.003	-0.017
P32004	0.014	0.037	0.032	-0.042	0.012	0.017	0.024	-0.086	-0.07	-0.034	0.052	-0.041
O15394	-0.017	-0.024	0.034	-0.077	-0.008	-0.023	-0.069	-0.045	-0.073	-0.073	-0.016	-0.078
P00558	0.165	0.252	-0.005	0.254	0.824	0.671	0.614	0.449	0.967	0.469	0.855	0.536
Q16822	-0.005	-0.021	-0.077	-0.288	0.937	0.002	-0.093	0.096	2.066	0.05	-0.112	-0.009
Q9Y4L1	-0.091	0.058	0.042	0.013	-0.056	0.028	0.034	0.018	-0.067	-0.046	0.029	0.002
P02538	-1.126	-2.086	-0.111	-0.229	-0.905	-2.126	-0.343	0.497	-0.924	-1.35	-0.711	0.565
