Column.Name	Experiment
gene_symbol	
RefSeq_transcript	
RefSeq_protein	
gene_id	
transcript_id.s.	
MB102	
MB104	SHH
MB106	SHH
MB118	G3
MB136	G4
MB164	SHH
MB166	G3
MB170	G3
MB174	G3
MB177	G4
MB199	G4
MB206	G4
MB226	SHH
MB227	G3
MB234	G4
MB239	SHH
MB244	SHH
MB247	SHH
MB248	G3
MB260	G3
MB264	G3
MB265	G4
MB266	G4
MB268	SHH
MB269	SHH
MB270	G4
MB271	G4
MB274	G3
MB275	SHH
MB277	SHH
MB278	G3
MB281	G3
MB284	G4
MB287	SHH
MB288	SHH
MB88	G4
MB91	SHH
MB95	G4
MB99	G3
	G4
